Chapter,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Applications of Trigonometry,Easy,"A kite is flying at a height of 40 meters above the ground. If the string makes an angle of 60° with the ground, find the length of the string.",(A) 40 meters,(B) 40√3 meters,(C) 80 meters,(D) 60 meters,(B) 40√3 meters
Applications of Trigonometry,Easy,A ladder of length 12 meters makes an angle of 45° with the ground. How high does it reach on the wall?,(A) 6 meters,(B) 12 meters,(C) 12√2 meters,(D) 6√2 meters,(D) 6√2 meters
Applications of Trigonometry,Easy,A car is parked 30 meters away from the base of a streetlight. The top of the streetlight is observed at an angle of 45°. Find the height of the streetlight.,(A) 30 meters,(B) 15 meters,(C) 60 meters,(D) 45 meters,(A) 30 meters
Applications of Trigonometry,Easy,"A person is flying a drone at a height of 25 meters. If the angle of elevation from a point on the ground is 45°, find the horizontal distance of the drone from the point.",(A) 25 meters,(B) 50 meters,(C) 12.5 meters,(D) 35 meters,(A) 25 meters
Applications of Trigonometry,Easy,A balloon is flying at a height of 30 meters. The angle of elevation of the balloon from a point on the ground is 60°. Find the horizontal distance of the balloon from the observer.,(A) 10 meters,(B) 30√3 meters,(C) 20 meters,(D) 10√3 meters,(D) 10√3 meters
Applications of Trigonometry,Easy,The angle of elevation of the top of a lamp post from a point 24 meters away from its base is 30°. Find the height of the lamp post.,(A) 12 meters,(B) 24√3 meters,(C) 24 meters,(D) 8 meters,(A) 12 meters
Applications of Trigonometry,Easy,A man sees the top of a tower at an angle of elevation of 45° from a distance of 50 meters. What is the height of the tower?,(A) 25 meters,(B) 50 meters,(C) 75 meters,(D) 100 meters,(B) 50 meters
Applications of Trigonometry,Easy,"A boy flying a kite finds that the angle of elevation of the kite is 30°. If the length of the string is 60 meters, find the height of the kite.",(A) 20 meters,(B) 30 meters,(C) 60√3 meters,(D) 30√3 meters,(D) 30√3 meters
Applications of Trigonometry,Easy,A ladder 15 meters long leans against a wall and makes an angle of 60° with the ground. Find the height the ladder reaches.,(A) 7.5 meters,(B) 15√3 meters,(C) 15 meters,(D) 7.5√3 meters,(C) 15 meters
Applications of Trigonometry,Easy,A helicopter is hovering at a height of 80 meters. The angle of depression to a boat on the water is 30°. Find the horizontal distance of the boat from the helicopter.,(A) 80 meters,(B) 80√3 meters,(C) 40 meters,(D) 40√3 meters,(B) 80√3 meters
Applications of Trigonometry,Hard,"From the top of a 100-meter-high cliff, the angles of depression to two boats are 30° and 45°, respectively. Find the distance between the two boats.",(A) 100 meters,(B) 100√3 meters,(C) 100(√3 - 1) meters,(D) 100(√3 + 1) meters,(C) 100(√3 - 1) meters
Applications of Trigonometry,Hard,A tower 30 meters high is observed from a point at a distance of 40 meters from the base. Find the angle of elevation of the top of the tower.,(A) 37°,(B) 45°,(C) 36.87°,(D) None of these,(C) 36.87°
Applications of Trigonometry,Hard,The angles of elevation of the top of a tower from two points at a distance of 15 meters and 20 meters from its base are complementary. Find the height of the tower.,(A) 12 meters,(B) 10 meters,(C) 15 meters,(D) None of these,(B) 10 meters
Applications of Trigonometry,Hard,A man standing at a distance of 50 meters from a tower observes the top at an angle of elevation of 60° and the bottom of a flagpole on top of the tower at 45°. Find the height of the flagpole.,(A) 50 meters,(B) 50(√3 - 1) meters,(C) 50√3 meters,(D) None of these,(B) 50(√3 - 1) meters
Applications of Trigonometry,Hard,"From the top of a building 60 meters high, the angle of depression to a point on the ground is 30°. Find the horizontal distance to the point.",(A) 120 meters,(B) 60 meters,(C) 60√3 meters,(D) None of these,(C) 60√3 meters
Applications of Trigonometry,Hard,A tree 10 meters high casts a shadow 10 meters long. Find the angle of elevation of the sun.,(A) 30°,(B) 45°,(C) 60°,(D) 90°,(B) 45°
Applications of Trigonometry,Hard,Two points are observed from the top of a building 50 meters high. The angles of depression are 30° and 60°. Find the horizontal distance between the two points.,(A) 50 meters,(B) 50√3 meters,(C) 50(√3 - 1) meters,(D) None of these,(C) 50(√3 - 1) meters
Applications of Trigonometry,Hard,"From a balloon 60 meters high, the angles of depression to two objects on the ground are 30° and 45°, respectively. Find the distance between the two objects.",(A) 60 meters,(B) 60√3 meters,(C) 60(√3 - 1) meters,(D) None of these,(C) 60(√3 - 1) meters
Applications of Trigonometry,Hard,A person observes the top of a pole at an angle of elevation of 30° from a distance of 10√3 meters. Find the height of the pole.,(A) 10 meters,(B) 10√3 meters,(C) 5 meters,(D) None of these,(A) 10 meters
Applications of Trigonometry,Hard,The height of a lighthouse is 50 meters. The angles of depression to two ships are 45° and 60°. Find the distance between the two ships.,(A) 50 meters,(B) 50√3 meters,(C) 50(√3 - 1) meters,(D) None of these,(C) 50(√3 - 1) meters
Applications of Trigonometry,Hard,A man standing at the top of a building 100 meters high observes the top of another building at an angle of elevation of 45° and its bottom at an angle of depression of 30°. Find the height of the other building.,(A) 100 meters,(B) 100√3 meters,(C) 100(√3 - 1) meters,(D) None of these,(C) 100(√3 - 1) meters
Applications of Trigonometry,Hard,"The angles of elevation of the top of a tower from two points on opposite sides of it are 45° and 60°. If the distance between the two points is 40 meters, find the height of the tower.",(A) 20 meters,(B) 30 meters,(C) 40 meters,(D) None of these,(B) 30 meters
Applications of Trigonometry,Hard,"From the top of a lighthouse 30 meters high, the angles of depression to two boats are 30° and 45°. Find the distance between the boats.",(A) 30 meters,(B) 30√3 meters,(C) 30(√3 - 1) meters,(D) None of these,(C) 30(√3 - 1) meters
Applications of Trigonometry,Hard,"A man standing at the top of a hill observes the top of a tree at an angle of depression of 30°. If the hill is 100 meters high and the tree is 50 meters high, find the horizontal distance between them.",(A) 50 meters,(B) 50√3 meters,(C) 50(√3 - 1) meters,(D) None of these,(B) 50√3 meters
Applications of Trigonometry,Hard,"From the top of a 50-meter-high building, the angle of depression to a car is 30°. Find the distance of the car from the base of the building.",(A) 50√3 meters,(B) 100 meters,(C) 50 meters,(D) None of these,(A) 50√3 meters
Applications of Trigonometry,Hard,"The angles of elevation of the top of a tree from two points on the ground are 30° and 60°. If the points are 40 meters apart, find the height of the tree.",(A) 20 meters,(B) 40 meters,(C) 30 meters,(D) None of these,(A) 20 meters
Applications of Trigonometry,Hard,A tower casts a shadow of length 20 meters when the angle of elevation of the sun is 60°. Find the height of the tower.,(A) 20 meters,(B) 20√3 meters,(C) 10√3 meters,(D) None of these,(B) 20√3 meters
Applications of Trigonometry,Hard,A flagpole casts a shadow of length 15 meters when the angle of elevation of the sun is 30°. Find the height of the flagpole.,(A) 10 meters,(B) 15 meters,(C) 15√3 meters,(D) None of these,(C) 15√3 meters
Applications of Trigonometry,Hard,"From the top of a 100-meter-high hill, the angle of depression of a car is 30°. Find the distance of the car from the base of the hill.",(A) 50 meters,(B) 50√3 meters,(C) 100√3 meters,(D) None of these,(C) 100√3 meters
Applications of Trigonometry,Hard,"A ladder leaning against a wall makes an angle of 30° with the ground. If the ladder is 10 meters long, find the height it reaches on the wall.",(A) 5 meters,(B) 5√3 meters,(C) 10 meters,(D) None of these,(B) 5√3 meters
Applications of Trigonometry,Hard,"From the top of a lighthouse 100 meters high, the angles of depression of two ships are 30° and 45°. Find the distance between the two ships.",(A) 100 meters,(B) 100(√3 - 1) meters,(C) 100(√3 + 1) meters,(D) 50√3 meters,(B) 100(√3 - 1) meters
Applications of Trigonometry,Hard,Two towers of heights 60m and 80m stand apart on level ground. The angle of elevation of the top of the taller tower from the top of the shorter one is 30°. Find the distance between their bases.,(A) 20√3 meters,(B) 40 meters,(C) 60√3 meters,(D) 80 meters,(C) 60√3 meters
Applications of Trigonometry,Hard,"A vertical tower is observed from two points on the same side of its base. The angles of elevation at these points are 45° and 60°, and the points are 20m apart. Find the height of the tower.",(A) 40 meters,(B) 20(√3 + 1) meters,(C) 30√3 meters,(D) 60 meters,(B) 20(√3 + 1) meters
Applications of Trigonometry,Hard,"An observer at point A sees the top of a hill at an elevation of 30°. Moving 100m closer to the base of the hill to point B, the elevation changes to 45°. Find the height of the hill.",(A) 100(√3 + 1) meters,(B) 100(√3 - 1) meters,(C) 50(√3 + 1) meters,(D) 50(√3 - 1) meters,(B) 100(√3 - 1) meters
Applications of Trigonometry,Hard,"The angle of elevation of an airplane from a point on the ground is 60°. After 10 seconds, the angle becomes 30°. If the plane is flying at a constant altitude of 600m, find the speed of the plane.",(A) 400 m/s,(B) 200√3 m/s,(C) 600√3 m/s,(D) 800 m/s,(C) 600√3 m/s
Applications of Trigonometry,Hard,"A ladder of length 10m is leaning against a vertical wall. If the ladder slips down by 2m at the top, find how much its base moves.",(A) 3 meters,(B) 4 meters,(C) 5 meters,(D) 6 meters,(B) 4 meters
Applications of Trigonometry,Hard,Two vertical towers stand apart on level ground. A drone is flying between them at a height of 50m. The angles of depression of the drone from the tops of the towers are 30° and 45°. Find the distance between the towers.,(A) 50(√3 - 1) meters,(B) 50(√3 + 1) meters,(C) 100 meters,(D) 150 meters,(B) 50(√3 + 1) meters
Applications of Trigonometry,Hard,The angle of elevation of a hot air balloon is 45° from one point and 30° from another 200m closer to the balloon. Find the height of the balloon.,(A) 200(√3 + 1) meters,(B) 200(√3 - 1) meters,(C) 100(√3 + 1) meters,(D) 100(√3 - 1) meters,(B) 200(√3 - 1) meters
Applications of Trigonometry,Hard,A man on top of a 60m building sees the top of a nearby tower at an angle of elevation of 30° and its base at an angle of depression of 45°. Find the height of the tower.,(A) 120 meters,(B) 60 + 60√3 meters,(C) 60√3 meters,(D) 90 meters,(B) 60 + 60√3 meters
Applications of Trigonometry,Hard,A radio tower is built on top of a hill 200m high. The angle of elevation of the top of the tower from a point 100m away from the base of the hill is 60°. Find the height of the tower.,(A) 100 meters,(B) 150 meters,(C) 200 meters,(D) 250 meters,(B) 150 meters
Applications of Trigonometry,Hard,"A lighthouse is observed from a ship at an angle of elevation of 60°. The ship sails 200m towards the lighthouse, and the angle of elevation changes to 75°. Find the height of the lighthouse.",(A) 200(√3 + 1) meters,(B) 200(√3 - 1) meters,(C) 100(√3 + 1) meters,(D) 100(√3 - 1) meters,(C) 100(√3 + 1) meters
Applications of Trigonometry,Hard,The angle of depression from the top of a 50m cliff to a boat is 30°. The boat moves 100m away from the base of the cliff. Find the new angle of depression.,(A) 15°,(B) 20°,(C) 25°,(D) 30°,(A) 15°
Applications of Trigonometry,Hard,A drone is flying at a height of 100m. The angle of depression to a car moving directly beneath it changes from 30° to 60° in 5 seconds. Find the speed of the car.,(A) 50 m/s,(B) 100 m/s,(C) 200 m/s,(D) 400 m/s,(A) 50 m/s
Applications of Trigonometry,Hard,"A vertical tower is 60m high. From a point on the ground, the angle of elevation of its top is 30°. Find the minimum distance a man must walk towards the tower to change the angle of elevation to 60°.",(A) 30 meters,(B) 60 meters,(C) 90 meters,(D) 120 meters,(A) 30 meters
Applications of Trigonometry,Hard,The length of the shadow of a pole is three times its height when the sun’s elevation is θ. Find θ.,(A) 30°,(B) 45°,(C) 60°,(D) 75°,(A) 30°
Applications of Trigonometry,Hard,"A mountain peak is observed from two points A and B, 500m apart. The angles of elevation at A and B are 45° and 30° respectively. Find the height of the peak above point A.",(A) 500 meters,(B) 500√3 meters,(C) 1000 meters,(D) 750 meters,(B) 500√3 meters
Applications of Trigonometry,Hard,"A flagpole on a tower is observed at an angle of elevation of 45°. The angle of elevation of the top of the tower is 30°. If the height of the tower is 100m, find the height of the flagpole.",(A) 50 meters,(B) 100 meters,(C) 150 meters,(D) 200 meters,(A) 50 meters
Applications of Trigonometry,Hard,"A man on a ship observes a cliff at an angle of elevation of 60°. He sails 300m towards it, and the angle becomes 75°. Find the height of the cliff.",(A) 100 meters,(B) 200 meters,(C) 300 meters,(D) 400 meters,(C) 300 meters
Applications of Trigonometry,Hard,"A helicopter is flying at a height of 500m. From two points A and B, 1000m apart, the angles of elevation are 45° and 30° respectively. Find the height of the helicopter.",(A) 500 meters,(B) 1000 meters,(C) 1500 meters,(D) 2000 meters,(A) 500 meters
Applications of Trigonometry,Hard,"The angle of elevation of the top of a hill from a point P is 30°. Moving 400m closer, the angle increases to 45°. Find the height of the hill.",(A) 200 meters,(B) 400 meters,(C) 600 meters,(D) 800 meters,(B) 400 meters
Applications of Trigonometry,Medium,"A tower is 50 meters high. From a point on the ground, the angle of elevation to the top of the tower is 30°. Find the distance of the point from the base of the tower.",(A) 25√3 meters,(B) 50√3 meters,(C) 75 meters,(D) 100 meters,(B) 50√3 meters
Applications of Trigonometry,Medium,"A man standing at a point observes the top of a tree at an angle of elevation of 60°. If the height of the tree is 10√3 meters, what is the distance of the man from the base of the tree?",(A) 10 meters,(B) 20 meters,(C) 10√3 meters,(D) 30 meters,(A) 10 meters
Applications of Trigonometry,Medium,The angle of elevation of the top of a hill from a point 50 meters away is 45°. Find the height of the hill.,(A) 25 meters,(B) 50 meters,(C) 75 meters,(D) 100 meters,(B) 50 meters
Applications of Trigonometry,Medium,"A ladder 20 meters long leans against a wall, making an angle of 60° with the ground. Find how high the ladder reaches up the wall.",(A) 10 meters,(B) 15 meters,(C) 10√3 meters,(D) 20√3 meters,(C) 10√3 meters
Applications of Trigonometry,Medium,"The angle of depression of a car from the top of a tower is 30°. If the height of the tower is 40 meters, find the distance of the car from the base of the tower.",(A) 40√3 meters,(B) 20 meters,(C) 30 meters,(D) None of these,(A) 40√3 meters
Applications of Trigonometry,Medium,"A man on a hill observes a boat at an angle of depression of 45°. If the hill is 100 meters high, find the distance of the boat from the hill.",(A) 50 meters,(B) 100 meters,(C) 150 meters,(D) None of these,(B) 100 meters
Applications of Trigonometry,Medium,The height of a tree is observed to be 12 meters when viewed from a point 10 meters away. Find the angle of elevation of the top of the tree.,(A) 30°,(B) 45°,(C) 60°,(D) None of these,(C) 60°
Applications of Trigonometry,Medium,"A ramp is inclined at 45° to the horizontal. If the length of the ramp is 14√2 meters, find the height of the ramp.",(A) 14 meters,(B) 14√2 meters,(C) 28 meters,(D) None of these,(A) 14 meters
Applications of Trigonometry,Medium,A tower casts a shadow of 20 meters when the angle of elevation of the sun is 30°. Find the height of the tower.,(A) 10 meters,(B) 20 meters,(C) 20√3 meters,(D) None of these,(C) 20√3 meters
Applications of Trigonometry,Medium,"From the top of a lighthouse, the angle of depression to a boat is 60°. If the lighthouse is 60 meters high, find the distance of the boat from the base of the lighthouse.",(A) 60 meters,(B) 60√3 meters,(C) 120 meters,(D) None of these,(B) 60√3 meters
Applications of Trigonometry,Medium,"A kite is flying at a height of 45 meters, and its string makes an angle of 60° with the horizontal. Find the length of the string.",(A) 45√3 meters,(B) 45 meters,(C) 90 meters,(D) None of these,(A) 45√3 meters
Applications of Trigonometry,Medium,"A balloon is flying at a height of 80 meters, and its string makes an angle of 45° with the ground. Find the length of the string.",(A) 80 meters,(B) 80√2 meters,(C) 160 meters,(D) None of these,(B) 80√2 meters
Applications of Trigonometry,Medium,The top of a building is observed at an angle of elevation of 30° from a point 50 meters away. Find the height of the building.,(A) 25 meters,(B) 50 meters,(C) 50√3 meters,(D) None of these,(A) 25 meters
Applications of Trigonometry,Medium,"A ladder is placed against a wall making an angle of 30° with the ground. If the ladder reaches a height of 10 meters on the wall, find the length of the ladder.",(A) 20 meters,(B) 10 meters,(C) 10√3 meters,(D) None of these,(C) 10√3 meters
Applications of Trigonometry,Medium,"From the top of a 40-meter building, the angle of depression to a car on the ground is 60°. Find the distance of the car from the base of the building.",(A) 20 meters,(B) 40 meters,(C) 40√3 meters,(D) None of these,(C) 40√3 meters
Applications of Trigonometry,Medium,A person observes a tower at an angle of elevation of 60° from a distance of 30 meters. Find the height of the tower.,(A) 30 meters,(B) 30√3 meters,(C) 15 meters,(D) None of these,(B) 30√3 meters
Applications of Trigonometry,Medium,A tree casts a shadow of 10 meters when the angle of elevation of the sun is 60°. What is the height of the tree?,(A) 10 meters,(B) 10√3 meters,(C) 5√3 meters,(D) None of these,(B) 10√3 meters
Applications of Trigonometry,Medium,The angle of depression of a boat from a cliff 80 meters high is 30°. Find the horizontal distance of the boat from the base of the cliff.,(A) 80 meters,(B) 80√3 meters,(C) 40√3 meters,(D) None of these,(B) 80√3 meters
Applications of Trigonometry,Medium,"A ramp is inclined at an angle of 30° with the horizontal. If the vertical height of the ramp is 5 meters, find the length of the ramp.",(A) 5√3 meters,(B) 10 meters,(C) 15 meters,(D) None of these,(B) 10 meters
Applications of Trigonometry,Medium,"From the top of a lighthouse 50 meters high, the angle of depression to a boat is 30°. Find the horizontal distance of the boat from the base of the lighthouse.",(A) 50 meters,(B) 50√3 meters,(C) 25 meters,(D) None of these,(B) 50√3 meters
Applications of Trigonometry,Medium,"The top of a tower is observed from a point on the ground at an angle of elevation of 60°. If the height of the tower is 30 meters, find the distance of the observer from the base of the tower.",(A) 10√3 meters,(B) 30√3 meters,(C) 15√3 meters,(D) 60 meters,(C) 15√3 meters
Applications of Trigonometry,Medium,"A kite is flying at a height of 50 meters. If the angle of elevation of the kite from a point on the ground is 45°, find the length of the string assuming it is straight.",(A) 50√2 meters,(B) 100 meters,(C) 50 meters,(D) 25√2 meters,(A) 50√2 meters
Applications of Trigonometry,Medium,The angle of elevation of a bird flying at a height of 80 meters from a point on the ground is 30°. Find the horizontal distance of the bird from the observer.,(A) 80√3 meters,(B) 40√3 meters,(C) 80 meters,(D) 160 meters,(B) 40√3 meters
Applications of Trigonometry,Medium,The shadow of a 12-meter-high pole is 4√3 meters long. Find the angle of elevation of the sun.,(A) 30°,(B) 45°,(C) 60°,(D) 90°,(C) 60°
Applications of Trigonometry,Medium,"The angle of elevation of a hilltop from a point on the ground is 30°. If the horizontal distance between the observer and the hill is 100 meters, find the height of the hill.",(A) 100√3 meters,(B) 50 meters,(C) 50√3 meters,(D) 150 meters,(C) 50√3 meters
Applications of Trigonometry,Medium,"A ladder leans against a vertical wall making an angle of 75° with the ground. If the foot of the ladder is 4 meters from the wall, find the length of the ladder.",(A) 16 meters,(B) 12 meters,(C) 15 meters,(D) 4/sin(75°) meters,(D) 4/sin(75°) meters
Applications of Trigonometry,Medium,"A tower is 50 meters high. If the angle of depression from the top of the tower to a point on the ground is 45°, find the distance of the point from the base of the tower.",(A) 50 meters,(B) 25√3 meters,(C) 50√2 meters,(D) 100 meters,(A) 50 meters
Applications of Trigonometry,Medium,"The angles of elevation of the top of a lighthouse from two ships on opposite sides are 30° and 60°. If the lighthouse is 90 meters high, find the distance between the two ships.",(A) 60 meters,(B) 90 meters,(C) 120 meters,(D) 150 meters,(C) 120 meters
Applications of Trigonometry,Medium,A man at the top of a building 20 meters high observes the top of another building at an angle of elevation of 30° and its base at an angle of depression of 45°. Find the height of the second building.,(A) 40 meters,(B) 20 + 20√3 meters,(C) 20√3 meters,(D) 60 meters,(B) 20 + 20√3 meters
Applications of Trigonometry,Medium,"A road rises at an angle of 5° from the horizontal. If a car travels 200 meters along the road, how much altitude does it gain?",(A) 200 sin(5°) meters,(B) 10 meters,(C) 20 meters,(D) 200 cos(5°) meters,(A) 200 sin(5°) meters
Applications of Trigonometry,Medium,A helicopter is flying at a height of 120 meters above the ground. The angle of depression to a boat on the sea is 60°. Find the distance of the boat from the point directly below the helicopter.,(A) 60 meters,(B) 120√3 meters,(C) 240 meters,(D) 180 meters,(B) 120√3 meters
Applications of Trigonometry,Medium,A pole of height 20 meters stands on a building 50 meters high. Find the angle of elevation of the top of the pole from a point 70 meters away from the base of the building.,(A) 30°,(B) 45°,(C) 60°,(D) 75°,(B) 45°
Applications of Trigonometry,Medium,"A ship is sailing away from a lighthouse. The angle of elevation of the top of the lighthouse changes from 60° to 30° in 10 minutes. If the lighthouse is 100 meters high, find the distance traveled by the ship in 10 minutes.",(A) 100√3 meters,(B) 200 meters,(C) 100 meters,(D) 300 meters,(A) 100√3 meters
Applications of Trigonometry,Medium,"The angle of elevation of an airplane from a point on the ground is 45°. If the airplane is flying at a height of 5000 meters, find its horizontal distance from the observer.",(A) 5000 meters,(B) 5000√2 meters,(C) 2500 meters,(D) 10000 meters,(A) 5000 meters
Applications of Trigonometry,Medium,"A flagpole stands on the top of a building. The angle of elevation of the top of the flagpole is 60° and the angle of elevation of the top of the building is 45° from a point on the ground. If the height of the building is 50 meters, find the height of the flagpole.",(A) 50 meters,(B) 50√3 meters,(C) 25 meters,(D) 75 meters,(C) 25 meters
Applications of Trigonometry,Medium,A tree of height 30 meters casts a shadow of 30 meters. Find the angle of elevation of the sun.,(A) 30°,(B) 45°,(C) 60°,(D) 90°,(B) 45°
Applications of Trigonometry,Medium,A hot air balloon is floating 80 meters above the ground. The angle of depression from the balloon to a person standing some distance away is 45°. Find the horizontal distance of the person from the balloon.,(A) 80 meters,(B) 80√2 meters,(C) 40 meters,(D) 100 meters,(A) 80 meters
Applications of Trigonometry,Medium,The shadow of a building is three times its height when the angle of elevation of the sun is θ. Find θ.,(A) 30°,(B) 45°,(C) 60°,(D) 75°,(A) 30°
Applications of Trigonometry,Medium,A lighthouse is 150 meters tall. A boat observes the top of the lighthouse at an angle of elevation of 45°. Find the distance of the boat from the lighthouse.,(A) 150 meters,(B) 150√2 meters,(C) 75 meters,(D) 300 meters,(B) 150√2 meters
Applications of Trigonometry,Medium,A tower is 120 meters high. The angles of elevation of its top from two points on opposite sides of the tower are 30° and 60°. Find the distance between the two points.,(A) 120 meters,(B) 120√3 meters,(C) 240 meters,(D) 360 meters,(C) 240 meters
Probability,Easy,What is the probability of getting a head when tossing a fair coin?,(A) 1/2,(B) 1/3,(C) 1/4,(D) 2/3,(A) 1/2
Probability,Easy,What is the probability of rolling a 6 on a fair die?,(A) 1/6,(B) 1/3,(C) 1/4,(D) 1/2,(A) 1/6
Probability,Easy,"If a card is drawn from a standard deck, what is the probability of getting a king?",(A) 1/13,(B) 1/26,(C) 1/52,(D) 1/4,(A) 1/13
Probability,Easy,A bag contains 3 red and 5 blue balls. What is the probability of drawing a red ball?,(A) 3/8,(B) 5/8,(C) 1/2,(D) 3/5,(A) 3/8
Probability,Easy,What is the probability of getting an even number when rolling a fair six-sided die?,(A) 1/2,(B) 1/3,(C) 2/3,(D) 1/6,(A) 1/2
Probability,Easy,A number is chosen at random from 1 to 10. What is the probability of choosing a prime number?,(A) 4/10,(B) 3/10,(C) 5/10,(D) 2/10,(A) 4/10
Probability,Easy,What is the probability of getting a sum of 7 when rolling two fair dice?,(A) 1/6,(B) 1/12,(C) 1/8,(D) 1/9,(A) 1/6
Probability,Easy,A bag contains 4 white and 6 black balls. What is the probability of drawing a white ball?,(A) 2/5,(B) 3/5,(C) 4/10,(D) 6/10,(A) 2/5
Probability,Easy,A card is drawn from a standard deck. What is the probability of getting a red card?,(A) 1/2,(B) 1/4,(C) 1/3,(D) 3/4,(A) 1/2
Probability,Easy,What is the probability of getting at least one head in two tosses of a fair coin?,(A) 3/4,(B) 1/4,(C) 1/2,(D) 2/3,(A) 3/4
Probability,Easy,A die is rolled. What is the probability of getting a number greater than 4?,(A) 1/3,(B) 1/2,(C) 2/3,(D) 1/6,(A) 1/3
Probability,Easy,"A bag contains 2 red, 3 green, and 5 blue balls. What is the probability of drawing a green ball?",(A) 3/10,(B) 2/10,(C) 5/10,(D) 4/10,(A) 3/10
Probability,Easy,Two dice are rolled. What is the probability of getting a sum of 8?,(A) 5/36,(B) 4/36,(C) 6/36,(D) 3/36,(A) 5/36
Probability,Easy,A number is chosen at random from 1 to 20. What is the probability of getting a multiple of 5?,(A) 1/4,(B) 1/5,(C) 1/6,(D) 1/3,(A) 1/4
Probability,Easy,What is the probability of drawing an ace from a standard deck of 52 cards?,(A) 1/13,(B) 1/26,(C) 1/52,(D) 1/4,(A) 1/13
Probability,Easy,A coin is tossed three times. What is the probability of getting exactly two heads?,(A) 3/8,(B) 1/8,(C) 5/8,(D) 1/4,(A) 3/8
Probability,Easy,A letter is chosen at random from the word 'PROBABILITY'. What is the probability of getting a vowel?,(A) 4/10,(B) 3/10,(C) 5/10,(D) 2/10,(A) 4/10
Probability,Easy,"A bag contains 3 red, 4 blue, and 5 green balls. What is the probability of drawing a blue or green ball?",(A) 3/4,(B) 1/2,(C) 2/3,(D) 3/5,(A) 3/4
Probability,Easy,"A bag contains 4 red, 5 blue, and 6 green balls. What is the probability of drawing a red or blue ball?",(A) 9/15,(B) 4/15,(C) 5/15,(D) 6/15,(A) 9/15
Probability,Easy,Two dice are rolled. What is the probability of getting a sum less than 5?,(A) 1/6,(B) 5/36,(C) 1/3,(D) 7/36,(D) 7/36
Probability,Easy,"A deck of 52 cards is shuffled. What is the probability of drawing a face card (Jack, Queen, King)?",(A) 3/13,(B) 1/13,(C) 9/52,(D) 4/13,(A) 3/13
Probability,Easy,What is the probability of drawing a heart from a deck of 52 cards?,(A) 1/4,(B) 1/2,(C) 1/3,(D) 1/13,(A) 1/4
Probability,Easy,A fair die is rolled. What is the probability of rolling an odd number?,(A) 1/2,(B) 1/3,(C) 2/3,(D) 1/6,(A) 1/2
Probability,Easy,"A bag contains 2 red, 3 blue, and 4 green balls. If a ball is drawn randomly, what is the probability that it is not red?",(A) 7/9,(B) 2/9,(C) 4/9,(D) 5/9,(A) 7/9
Probability,Easy,What is the probability of getting a sum of 9 when rolling two dice?,(A) 1/9,(B) 1/6,(C) 1/12,(D) 1/8,(A) 1/9
Probability,Easy,A coin is tossed four times. What is the probability of getting exactly two heads?,(A) 3/8,(B) 6/16,(C) 4/16,(D) 1/4,(B) 6/16
Probability,Easy,"A bag contains 3 white, 4 black, and 5 red balls. What is the probability of drawing a black ball?",(A) 4/12,(B) 1/3,(C) 5/12,(D) 3/12,(A) 4/12
Probability,Easy,"A class has 30 students, 18 boys and 12 girls. If a student is chosen at random, what is the probability that the student is a girl?",(A) 12/30,(B) 18/30,(C) 1/3,(D) 2/3,(A) 12/30
Probability,Easy,A number is selected from 1 to 50. What is the probability of selecting a number divisible by 5?,(A) 10/50,(B) 1/5,(C) 12/50,(D) 2/5,(B) 1/5
Probability,Easy,What is the probability of getting a prime number when rolling a six-sided die?,(A) 1/2,(B) 1/3,(C) 2/3,(D) 1/6,(A) 1/2
Probability,Easy,A fair coin is flipped 3 times. What is the probability of getting exactly one head?,(A) 3/8,(B) 1/8,(C) 5/8,(D) 1/4,(A) 3/8
Probability,Easy,Two fair dice are rolled. What is the probability of getting a double (same number on both dice)?,(A) 1/6,(B) 1/12,(C) 1/8,(D) 1/9,(A) 1/6
Probability,Easy,"A box contains 5 red, 3 blue, and 2 green balls. A ball is drawn at random. What is the probability of drawing a blue ball?",(A) 3/10,(B) 1/5,(C) 2/5,(D) 4/5,(A) 3/10
Probability,Easy,"If a letter is chosen randomly from the word 'STATISTICS', what is the probability of getting an 'S'?",(A) 3/10,(B) 4/10,(C) 5/10,(D) 6/10,(B) 4/10
Probability,Easy,"In a lottery, there are 10 tickets and only one winning ticket. What is the probability of selecting the winning ticket?",(A) 1/10,(B) 2/10,(C) 1/5,(D) 3/10,(A) 1/10
Probability,Easy,What is the probability of drawing a number greater than 4 when rolling a fair six-sided die?,(A) 1/3,(B) 1/2,(C) 2/3,(D) 1/6,(B) 1/3
Probability,Easy,A student guesses on a 4-option multiple-choice question. What is the probability of guessing correctly?,(A) 1/4,(B) 1/3,(C) 1/2,(D) 1/5,(A) 1/4
Probability,Easy,"If you randomly select a month of the year, what is the probability of selecting February?",(A) 1/12,(B) 1/6,(C) 1/4,(D) 1/10,(A) 1/12
Probability,Easy,"A bag contains 3 red, 5 green, and 2 blue balls. What is the probability of not drawing a red ball?",(A) 7/10,(B) 3/10,(C) 2/5,(D) 1/2,(A) 7/10
Probability,Easy,A fair die is rolled. What is the probability of getting a number less than 4?,(A) 1/2,(B) 1/3,(C) 2/3,(D) 1/6,(A) 1/2
Probability,Easy,"A bag contains 6 red, 4 blue, and 5 green balls. What is the probability of drawing a red ball?",(A) 6/15,(B) 4/15,(C) 5/15,(D) 7/15,(A) 6/15
